French,English
histoire,history
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
mettre,to put
aucun,no
laisse,leash
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
endroit,place
façon,way
écoute,listen
trouve,find
premier,first
pouvoir,power
vieux,old
matin,morning
tellement,so much
enfant,child
point,point
venu,came
droit,law
aujourd'hui,today
cause,cause
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
jouer,to play
bureau,office
